,song_name,song_popularity,date_added_to_playlist,song_duration_ms,artist_name,album_names,album_release_date,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
40,Mama,46,2018-10-05T07:44:45Z,219297,Kiss Daniel,Mama,2016-04-04,0.433,0.784,0.882,0.000215,7,0.132,-4.8,1,0.0679,124.041,4,0.955
41,Baba,52,2018-10-05T07:44:45Z,196440,DJ Spinall,Baba,2018-04-27,0.146,0.766,0.867,0.0,4,0.0719,-3.657,0,0.12,110.096,4,0.809
42,Club Controller,43,2018-10-05T07:44:45Z,361750,Prince Kaybee,Club Controller,2018-01-19,0.00618,0.822,0.867,0.217,1,0.0431,-8.079,1,0.0386,125.008,4,0.76
43,CCTV,52,2018-10-05T07:44:45Z,253152,King Promise,CCTV,2018-05-17,0.141,0.835,0.74,3.78e-06,5,0.0797,-3.838,1,0.0427,108.018,4,0.954
44,Trobul,47,2018-10-05T07:44:45Z,242026,Sarz,Trobul,2018-06-08,0.314,0.884,0.521,3.95e-06,8,0.107,-6.876,0,0.268,99.914,4,0.536
45,Fantasy,48,2018-10-05T07:44:45Z,217103,Mayorkun,Fantasy,2018-08-13,0.152,0.802,0.71,0.0,7,0.159,-4.193,1,0.0583,114.041,4,0.826
46,Wine to the Top,52,2018-10-05T07:44:45Z,219428,Vybz Kartel,World Fete Riddim,2017-03-10,0.421,0.815,0.876,0.0,7,0.0728,-2.891,0,0.207,104.981,4,0.898
47,Anticipation,29,2018-10-05T07:44:45Z,230160,Kobi Jonz,Xylem,2018-06-29,0.31,0.549,0.562,0.0,10,0.105,-10.664,0,0.434,83.463,4,0.861
48,Shakara (Oloje),22,2018-10-05T07:44:45Z,805746,Fela Kuti,Shakara,2010-01-01,0.263,0.634,0.713,0.0468,10,0.159,-6.619,0,0.0453,120.286,4,0.593
49,Best Life,78,2018-10-05T07:44:45Z,200265,Hardy Caprio,Best Life,2018-06-28,0.211,0.845,0.668,0.0,1,0.122,-6.702,0,0.0447,106.017,4,0.721
50,079ME,76,2018-10-05T07:44:45Z,211852,B Young,079ME,2018-06-21,0.404,0.629,0.601,0.0,10,0.0582,-7.508,0,0.309,199.921,4,0.612
51,KANA,62,2018-10-05T07:44:45Z,207378,Olamide,KANA,2018-05-04,0.345,0.853,0.822,0.000114,10,0.13,-5.917,0,0.212,102.82,4,0.62
52,Assurance,59,2018-10-05T07:44:45Z,249320,DaVido,Assurance,2018-04-30,0.275,0.665,0.799,2.99e-06,4,0.0756,-3.244,0,0.115,206.007,4,0.806
53,One Leg Up,32,2018-10-05T07:44:45Z,199835,Skales,Mr Love,2018-07-19,0.415,0.882,0.565,0.000322,1,0.369,-6.944,1,0.0468,123.943,4,0.911
54,Labyrinth,25,2018-10-05T07:44:45Z,466451,DJEFF,Labyrinth,2018-04-14,0.00024,0.765,0.948,0.939,1,0.0614,-8.573,1,0.0455,124.017,4,0.811
55,If,63,2018-10-05T07:44:45Z,237714,DaVido,If,2017-02-17,0.397,0.951,0.661,0.0,7,0.0686,-2.678,0,0.0612,104.997,4,0.926
56,Sgicha (feat. HHP),23,2018-10-05T07:44:45Z,350179,DJ Buckz,Sgicha (feat. HHP),2018-08-24,0.0102,0.796,0.781,1.08e-05,3,0.0873,-5.624,0,0.197,121.995,4,0.571
57,Zombie,30,2018-10-05T07:44:45Z,745653,Fela Kuti,Best of The Black President,2009-10-27,0.388,0.704,0.942,0.0147,2,0.302,-5.115,0,0.171,131.69,4,0.584
